time_s,cpu_x,cpu_y,cpu_z,cuda_x,cuda_y,cuda_z,diff_m
22200,6776701.227528731,-138405.42588978115,17207.913079657912,6776701.5,-138413.27,17198.002,12.639862263698864
22500,6414036.832316257,1270129.1470396956,1786066.9542064574,6414041.0,1270121.6,1786057.4,12.872912076012756
22800,5319223.690277395,2533962.5720891133,3350824.4832310965,5319232.0,2533956.2,3350816.2,13.29685657665064
23100,3617239.297159585,3509077.3205169006,4532668.962884456,3617250.5,3509073.0,4532663.0,13.406210899555806
23400,1502367.8074007411,4084352.1729341685,5196545.968247708,1502380.9,4084350.5,5196543.5,13.403473649383912
23700,-783977.8467796925,4194225.2094725748,5266591.433684704,-783964.44,4194226.2,5266592.5,13.4917940802476
24000,-2980813.335414849,3826165.6250503766,4734800.964187782,-2980801.2,3826169.5,4734805.5,13.477614000112341
24300,-4837374.11816893,3022102.842057699,3661944.5318401316,-4837364.5,3022109.0,3661952.0,13.645616100487993
24600,-6141739.788299153,1873649.933213777,2170622.031116608,-6141734.0,1873657.9,2170632.0,13.998393178347122
24900,-6745024.146983077,511665.4961129044,431253.264428737,-6745023.0,511674.25,431264.3,14.14234733322681
25200,-6578369.778883051,-908656.737751389,-1357396.6577956649,-6578373.5,-908648.1,-1357385.6,14.482706170429829
25500,-5660807.284066849,-2225471.637296117,-2990931.0566484034,-5660815.5,-2225464.2,-2990921.5,14.608327425156308
25800,-4097082.129543903,-3288724.765736212,-4282678.967700355,-4097094.0,-3288719.2,-4282672.0,14.828348598188269
26100,-2065697.2779410896,-3977251.386072873,-5085026.830732152,-2065711.5,-3977248.8,-5085023.0,14.962965904626987
26400,201463.39272747724,-4212583.921515528,-5306286.922788598,201448.38,-4212584.5,-5306287.0,15.029063326289274
26700,2445604.8336100434,-3967894.4338784316,-4921174.906543907,2445590.8,-3967898.0,-4921179.0,15.0937628735328
27000,4410562.183805093,-3271053.0037607197,-3973699.179700713,4410550.5,-3271059.2,-3973706.8,15.258972373489932
27300,5872041.601709935,-2201453.3586407686,-2572131.847105585,5872034.0,-2201461.8,-2572142.2,15.37599154181334
27600,6663222.76587308,-880967.3036052922,-876636.0041127666,6663220.0,-880976.9,-876648.06,15.64181425596833
27900,6693800.587542497,539941.4620287337,919036.7855399925,6693803.5,539931.75,919024.44,15.9774842353046
28200,5960292.613819905,1899361.9465211937,2609687.309837865,5960300.5,1899353.2,2609676.2,16.128897388647662
28500,4546435.634621142,3042385.352688028,4002117.700339918,4546448.0,3042378.8,4002109.0,16.498302887756747
28800,2613626.3253492615,3838757.1724414313,4937208.979154971,2613641.5,3838753.2,4937204.0,16.445289782990706
29100,382497.21987535676,4197720.415523984,5308104.265296459,382513.78,4197720.0,5308103.5,16.584253643892424
29400,-1892268.8111571837,4078358.511536422,5072419.767633381,-1892252.8,4078361.5,5072423.5,16.757751794692677
29700,-3951010.607438894,3494259.186433479,4257088.162031445,-3950997.0,3494265.2,4257096.0,16.833388942202642
30000,-5558728.711175484,2511967.7031420115,2955280.8792570774,-5558719.0,2511976.5,2955291.8,17.02541310611161
30300,-6531909.930323668,1243405.5396557348,1315761.0069728345,-6531905.5,1243415.9,1315774.0,17.183301888940143
30600,-6759474.5145183895,-166881.78118444805,-474116.5047356787,-6759476.0,-166871.0,-474102.88,17.441625164814788
30900,-6215454.916713524,-1558194.754574968,-2209814.695058033,-6215462.0,-1558184.8,-2209802.0,17.647350114229457
31200,-4961958.970547621,-2771991.198017363,-3692987.9060313683,-4961971.0,-2771983.0,-3692977.5,17.894152733698263
31500,-3142079.3525533425,-3669952.280531116,-4754147.58944862,-3142095.2,-3669947.0,-4754141.0,18.000934759203087
31800,-963558.821901775,-4149744.646088253,-5272030.488376829,-963576.75,-4149743.0,-5272028.5,18.112977527615257
32100,1324924.0621579909,-4156682.4668369372,-5187455.90832181,1324906.1,-4156684.8,-5187458.5,18.266670911843402
32400,3462141.7034541927,-3689960.4079681234,-4510088.548377816,3462126.0,-3689966.2,-4510096.0,18.337243064548687
32700,5204136.345244677,-2802747.087808967,-3317334.0747141223,5204124.5,-2802756.0,-3317345.2,18.56405087548751
33000,6352067.257440128,-1596128.1894938676,-1745493.6439408085,6352061.0,-1596139.1,-1745507.4,18.635526229581124
33300,6774907.539670214,-207589.21117761458,25811.813187768013,6774907.5,-207600.97,25796.947,18.953567560924053
33600,6424399.794185244,1204649.9288571053,1794167.6439939656,6424406.0,1204638.6,1794153.4,19.23261581373451
33900,5340563.595075325,2479663.492798636,3357496.2622191375,5340575.5,2479654.0,3357484.2,19.394170930202566
34200,3647126.20226804,3472157.444835067,4537149.41834452,3647142.8,3472151.0,4537141.0,19.652782411722903
34500,1537398.2256200183,4069026.339535937,5198323.09936588,1537417.4,4069023.5,5198319.5,19.690534598072695
34800,-747793.365384197,4202242.856472872,5265462.160085075,-747773.7,4202244.0,5265464.0,19.796769122622816
35100,-2947595.8676550775,3856611.0919147646,4730894.332795904,-2947578.0,3856616.5,4730901.0,19.823019304301095
35400,-4810907.0191580765,3071499.9434921695,3655706.9701387226,-4810893.0,3071508.8,3655718.2,20.03313864028125
35700,-6125037.783727496,1936358.8620392128,2162766.331967107,-6125029.5,1936370.2,2162780.8,20.15404338141294
36000,-6739989.944376278,580526.7375539573,422677.132181667,-6739988.0,580539.4,422693.12,20.475738810210572
36300,-6585577.310838411,-841504.9982284559,-1365713.191817573,-6585582.5,-841492.5,-1365697.4,20.815975371696766
36600,-5679436.276273257,-2167695.9369537174,-2998037.626522286,-5679448.0,-2167685.0,-2998024.0,21.04150267840676
36900,-4125011.4532315154,-3246921.0942238453,-4287763.475282975,-4125028.2,-3246913.0,-4287753.5,21.146019994463305
37200,-2099746.46280219,-3956192.1495345365,-5087508.247589255,-2099766.8,-3956188.0,-5087503.0,21.361793577408996
37500,165171.98366708812,-4214673.112220178,-5305881.686799797,165150.66,-4214673.5,-5305882.0,21.33324136664894
37800,2411204.4093196713,-3992893.2047691178,-4917929.325759335,2411184.5,-3992897.8,-4917935.5,21.334511509113558
38100,4381970.800208332,-3316106.974761932,-3967984.140522049,4381954.5,-3316115.5,-3967995.2,21.48946197857372
38400,5852515.916005415,-2261418.532907819,-2564600.4315101495,5852505.0,-2261430.2,-2564615.2,21.81827364499443
38700,6654987.094814604,-948997.380149117,-868148.8591819273,6654983.0,-949010.75,-868165.8,21.97579152047565
39000,6697793.520587861,471613.43555166933,927509.797444812,6697797.0,471599.78,927492.56,22.261841468897746
39300,5976060.045951519,1838536.8235709872,2617177.941396633,5976071.0,1838524.5,2617162.5,22.589783309718083
39600,4572182.409396797,2996007.2803520993,4007769.965037589,4572199.0,2995997.8,4007758.0,22.5662989935883
39900,2646420.615200399,3812120.805760214,4940376.96852276,2646441.5,3812115.0,4940370.0,22.769321805827012
40200,418604.3750069897,4193866.463022778,5308425.959635825,418627.22,4193865.2,5308425.0,22.896045944592537
40500,-1856960.9604742178,4097726.6185370022,5069858.405555885,-1856938.9,4097730.2,5069863.5,22.95449968450822
40800,-3920523.4282225966,3534637.781858521,4251936.441339839,-3920504.5,3534646.0,4251947.0,23.17974901560498
41100,-5536534.760142627,2568746.5311137238,2948127.5091151223,-5536521.5,2568758.2,2948142.5,23.192462298473643
41400,-6520537.425026436,1310102.0401119075,1307423.433590631,-6520531.0,1310116.0,1307441.2,23.528363374145098
41700,-6760219.334133933,-97882.3430387185,-482685.51117753505,-6760221.0,-97867.625,-482666.94,23.75662582623582
42000,-6228232.939384076,-1494769.9125337126,-2217635.917533092,-6228242.5,-1494756.1,-2217618.8,24.004700689593545
42300,-4985315.573030575,-2721381.9198810565,-3699167.5799862067,-4985332.0,-2721370.8,-3699153.8,24.204959941696263
42600,-3173354.9995608972,-3637936.293100292,-4757979.537102199,-3173376.5,-3637929.0,-4757970.5,24.43619057129776
42900,-999191.8952248942,-4139976.828838616,-5273076.816676762,-999216.06,-4139974.2,-5273074.0,24.46714659764409
43200,1288991.6761726406,-4170277.6175001855,-5185597.048856797,1288967.6,-4170280.2,-5185601.0,24.515311404839046
43500,3430002.4548663166,-3725366.010843819,-4505536.920971611,3429981.2,-3725373.5,-4505547.0,24.643876097000984
43800,5179450.92254202,-2855920.605761882,-3310609.8133034334,5179435.0,-2855932.2,-3310624.8,24.74309055160916
44100,6337647.63509373,-1660998.6334415486,-1737365.1586450855,6337639.0,-1661013.1,-1737383.6,25.011524821644095
44400,6772396.661746625,-276750.28578182287,34415.64557804173,6772396.5,-276765.97,34395.824,25.27583701853498
44700,6434084.381498438,1139094.2423073452,1802263.6267421523,6434092.5,1139079.1,1802244.8,25.51028112855729
45000,5361341.4040333135,2425197.457434367,3364159.2327399845,5361357.0,2425184.8,3364143.5,25.538836553306943
45300,3676631.474193899,3434999.1141861863,4541617.970490759,3676653.2,3434990.0,4541607.0,26.030862234815093
45600,1572271.0490113313,4053417.678901654,5200086.59256613,1572296.4,4053413.5,5200082.0,26.076053856738888
45900,-711524.4485885296,4209965.482533439,5264319.072426694,-711498.5,4209967.0,5264321.5,26.106035003347053
46200,-2914061.5802705744,3886782.9135966036,4726975.289796017,-2914038.0,3886789.5,4726984.5,26.157938134921814
46500,-4783926.898204027,3120675.9161574747,3649459.817607586,-4783908.5,3120687.2,3649474.5,26.12513243605517
46800,-6107685.140591594,1998924.346623211,2154904.9587513823,-6107674.0,1998939.1,2154924.0,26.553386799303183
47100,-6734241.785729398,649338.5503428956,414099.891031625,-6734239.0,649355.06,414120.8,26.79775101548068
47400,-6592089.097317418,-774303.0370232203,-1374026.1428601516,-6592095.5,-774286.6,-1374005.6,27.043140269387003
47700,-5697467.180630193,-2109776.0685112625,-3005136.3309767945,-5697482.0,-2109761.8,-3005118.5,27.25027008479612
48000,-4152508.640712439,-3204895.702973801,-4292836.733821387,-4152530.2,-3204885.0,-4292824.0,27.270224865324764
48300,-2133578.8057413693,-3934858.862890158,-5089976.317253715,-2133605.0,-3934853.0,-5089970.0,27.575720493241523
48600,128857.36508451382,-4216467.101266886,-5305462.5307107,128829.73,-4216467.0,-5305463.0,27.642691376522233
48900,2376543.3789538983,-4017609.2116426616,-4914670.842676254,2376517.5,-4017614.8,-4914678.5,27.550467579166682
49200,4352911.177236071,-3360922.7971056765,-3962258.691247496,4352890.0,-3360933.5,-3962273.0,27.708620909866873
49500,5832367.830034424,-2321217.2784446296,-2557062.2876276113,5832353.5,-2321232.0,-2557081.5,28.128087953267777
49800,6646045.937658566,-1016951.6944773669,-859659.4366430048,6646040.5,-1016968.9,-859681.3,28.34239947330645
50100,6701078.442970371,403261.8730623715,935980.3760067325,6701083.0,403244.28,935958.3,28.583854024405305
50400,5991197.790805058,1777591.5329611553,2624661.7067300463,5991211.5,1777575.5,2624642.0,28.867855453656396
50700,4597449.722837997,2949426.0714866715,4013411.7152603725,4597471.0,2949413.5,4013396.5,29.021785752249038
51000,2678940.416417699,3785221.4392639776,4943531.996700112,2678967.2,3785213.8,4943523.5,29.178071088050995
51300,454673.35394734633,4189719.5677369405,5308733.727199936,454702.5,4189717.8,5308732.5,29.228454843845924
51600,-1821450.6190367197,4116805.1709871516,5067283.742590491,-1821422.4,4116809.5,5067290.5,29.362025572836657
51900,-3889616.2187301717,3574763.1606744276,4246773.565597046,-3889592.2,3574773.2,4246787.0,29.27076526628183
52200,-5513751.207164193,2625337.2991883727,2940966.404494175,-5513734.0,2625352.0,2940985.5,29.61146238800533
52500,-6508473.0764057,1376697.0453757155,1299082.430153523,-6508465.0,1376714.8,1299105.0,29.80067147032947
52800,-6760249.072895915,-28886.275138420926,-491253.2512830999,-6760251.0,-28867.61,-491229.75,30.073821865202135
53100,-6240354.299344476,-1431249.9199938455,-2225451.321990265,-6240366.0,-1431232.4,-2225429.8,30.167580491618867
53400,-5008148.914092692,-2670589.785598491,-3705337.5490914304,-5008169.5,-2670575.5,-3705320.2,30.448587295110205
53700,-3204300.5348413843,-3605670.540620103,-4761799.00208915,-3204327.5,-3605661.0,-4761788.0,30.64619351226795
54000,-1034725.6978121575,-4129920.7508029984,-5274109.310940722,-1034756.06,-4129917.2,-5274106.0,30.744629089874124
54300,1252916.389246169,-4183578.8090155665,-5183724.58486096,1252886.1,-4183581.8,-5183729.5,30.801502843190427
54600,3397494.456864545,-3760505.406273657,-4500973.473187658,3397467.8,-3760514.5,-4500986.0,30.868649145769275
54900,5154213.01448366,-2908885.96444628,-3303876.8664331897,5154193.0,-2908900.2,-3303895.8,31.003962597641088
55200,6322554.883889468,-1725742.6612577748,-1729232.1153327143,6322544.0,-1725760.6,-1729255.2,31.246886486725305
55500,6769168.878794149,-345881.08364907495,43019.38767805518,6769168.0,-345900.7,42994.61,31.60771349752281
55800,6443090.152016776,1073469.2349747564,1810354.881211096,6443100.0,1073450.2,1810331.4,31.779773444348198
56100,5381555.9976723585,2370570.378752879,3370813.3773132246,5381575.5,2370554.2,3370793.8,32.02669007686252
56400,3705753.4431925304,3397606.331195663,4546074.607599785,3705780.5,3397594.8,4546061.0,32.42470809943149
56700,1606984.2470761968,4037527.8264050554,5201836.443221903,1607015.6,4037522.2,5201831.0,32.33108504564494
57000,-675173.257103212,4217392.169044115,5263162.173708474,-675141.0,4217393.5,5263165.0,32.40802485470638
57300,-2880212.5187870003,3916677.7224798426,4723043.845469831,-2880183.0,3916685.5,4723055.0,32.50034075314385
57600,-4756435.453265046,3169625.3281230214,3643203.0906363237,-4756412.5,3169639.0,3643221.5,32.44498832403069
57900,-6089683.016313155,2061339.511180758,2147037.932093856,-6089669.0,2061357.5,2147061.5,32.79482965653307
58200,-6727780.156301347,718093.4001975614,405521.56348118035,-6727776.5,718113.75,405547.44,33.12020302939694
58500,-6597904.896102036,-707058.1863652512,-1382335.489114111,-6597912.5,-707037.8,-1382310.1,33.410356690017856
58800,-5714899.054745481,-2051718.3246940938,-3012227.151388381,-5714917.0,-2051700.2,-3012205.2,33.5916290070099
59100,-4179572.156263445,-3162653.1265030694,-4297898.730005791,-4179598.8,-3162639.5,-4297883.0,33.768942714473866
59400,-2167192.3519749306,-3913253.784577039,-5092431.033250479,-2167224.5,-3913246.2,-5092423.0,33.982325998647305
59700,92521.68890085853,-4217965.61311901,-5305029.455620977,92487.74,-4217965.0,-5305030.5,33.96830861714782
60000,2341623.847189045,-4042039.6765206144,-4911399.465843353,2341592.0,-4042046.2,-4911409.5,34.031432248902185
